attn_implementation,base_model,block_size,compile,compile_mode,device,dtype,event,flops_per_token_estimate,init_model_name_or_path,liger_kernel,loss,lr,mfu,mfu_pct,mfu_peak_tflops,packing,parameters,path,peak_memory_gb,perplexity,planned_tokens,rope_scaling,run_group,run_name,sequences,sequences_per_step,source_file,start_step,step,step_time_sec_window,steps_per_sec_window,supervised_tokens,supervised_tokens_per_sec_window,tokens,tokens_per_sec_window,tokens_per_step,train_on_prompt
,,2048,True,,cuda,bfloat16,start,1231763328,/home/hhai/l20-pretrain/runs/l20-edu-135m-stage4-sft-anti-forgetting/interpolated/a0875,True,,,,,,,134515008,,,,9000452096,"{'rope_type': 'yarn', 'factor': 4.0, 'original_max_position_embeddings': 2048}",cpt10b_phase1_2k,l20-edu-135m-cpt10b-2k,,,logs/cpt10b-curriculum/phase1_2k.log,0,,,,,,,,524288,
,,,,,,,train,,,,2.9940009117126465,5.3333333333333334e-08,0.1354960633114853,13.549606331148532,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,1,39.884357929229736,,,,524288,13145.203463731057,,
,,,,,,,train,,,,2.9879756420850754,2.933333333333333e-07,0.5067463443910043,50.67463443910043,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,10,10.664454804526436,,,,5242880,49162.19437466888,,
,,,,,,,train,,,,2.9980384558439255,5.6e-07,0.504268920390817,50.42689203908171,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,20,10.716848230361938,,,,10485760,48921.84611839868,,
,,,,,,,train,,,,2.9734120070934296,8.266666666666667e-07,0.5043987935111476,50.439879351114755,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,30,10.714088845252991,,,,15728640,48934.44580985459,,
,,,,,,,train,,,,2.9884963929653168,1.0933333333333332e-06,0.5039256019749695,50.39256019749695,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,40,10.724149489402771,,,,20971520,48888.5389482945,,
,,,,,,,train,,,,3.0174167305231094,1.3600000000000001e-06,0.5046869194151719,50.468691941517186,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,50,10.707972168922424,,,,26214400,48962.39845688362,,
,,,,,,,train,,,,3.033399850130081,1.6266666666666666e-06,0.5044315481171617,50.44315481171617,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,60,10.713393139839173,,,,31457280,48937.62351074055,,
,,,,,,,train,,,,3.0237700790166855,1.8933333333333331e-06,0.5048554099206101,50.485540992061004,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,70,10.704398488998413,,,,36700160,48978.744629027395,,
,,,,,,,train,,,,3.0366086810827255,2.16e-06,0.5044575583941063,50.44575583941063,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,80,10.712840747833251,,,,41943040,48940.14690790965,,
