event,step,loss,perplexity,lr,sequences,supervised_tokens,supervised_tokens_per_sec_window,steps_per_sec_window,path,checkpoint
train,1,2.2286899238824844,,1.3333333333333334e-06,64,17793,3558.9054633061387,0.2000171676112032,,
train,10,2.1363020092248917,,7.333333333333333e-06,640,18453,3922.2187479467825,0.22596607773445468,,
train,20,2.2350504398345947,,1.4e-05,1280,17733,4115.5352011613895,0.22525328537830455,,
train,30,2.0734018087387085,,2e-05,1920,17704,4017.043993114537,0.22494870492756794,,
train,40,2.1092929393053055,,1.993914521967749e-05,2560,17542,3962.884389202415,0.2251408599803665,,
train,50,2.116586372256279,,1.9757403835218416e-05,3200,17293,3862.8928307626074,0.22518116602908883,,
eval,50,2.0566065112749734,7.819389725347062,,,54196.0,,,,
train,60,2.0736464858055115,,1.9457233587073177e-05,3840,16729,3529.4066588434034,0.20749864243933633,,
train,70,2.043532818555832,,1.904269376291071e-05,4480,16390,3725.7423814448307,0.22514079109555735,,
train,80,2.0602446794509888,,1.851939030271643e-05,5120,15818,3650.2236073934523,0.22515149654234454,,
train,90,1.9840499758720398,,1.7894399988070804e-05,5760,15623,3522.238630940081,0.22512934350927946,,
train,100,2.050099194049835,,1.7176174740818606e-05,6400,19121,3694.0606408928606,0.2266114138683946,,
eval,100,2.0242097973823547,7.570126646652182,,,54196.0,,,,
checkpoint,100,,,,,,,,runs/l20-edu-135m-sft-6k-quality/step-000100,
train,110,2.005420833826065,,1.6374427325325078e-05,7040,18504,3730.703126850921,0.20267299344565645,,
train,120,1.9580333083868027,,1.55e-05,7680,17980,4032.1373228454268,0.22517101261213082,,
train,130,1.9780865907669067,,1.4564717894352414e-05,8320,17490,3988.251043826697,0.22520531716640296,,
train,140,2.0301606506109238,,1.3581229094399815e-05,8960,16853,3877.169101944163,0.22508964307368146,,
train,150,2.0283284336328506,,1.2562833599002376e-05,9600,17179,3871.7156138137975,0.2251717475828781,,
eval,150,2.0120603889226913,7.47871053624051,,,54196.0,,,,
train,160,1.9885823130607605,,1.1523303460194284e-05,10240,16435,3450.1504224180176,0.20745546951547836,,
train,170,2.017807826399803,,1.047669653980572e-05,10880,15758,3681.4650025411015,0.22516192378984493,,
train,180,1.932869166135788,,9.437166400997629e-06,11520,15279,3572.6715961706914,0.22520622769608492,,
train,190,2.1367450654506683,,8.418770905600191e-06,12160,14966,3536.96299608995,0.22659766776154464,,
train,200,2.0076504051685333,,7.43528210564759e-06,12800,18247,4066.385049898622,0.22502642675151613,,
eval,200,2.0068023602167764,7.439490462054989,,,54196.0,,,,
checkpoint,200,,,,,,,,runs/l20-edu-135m-sft-6k-quality/step-000200,
train,210,1.9951318204402924,,6.500000000000003e-06,13440,18063,3668.970250573514,0.20262829366559235,,
train,220,1.978803738951683,,5.6255726746749275e-06,14080,17491,4008.4676748869374,0.22504815260206482,,
train,230,1.96944560110569,,4.8238252591813994e-06,14720,17530,3922.0288211283378,0.22500308766727886,,
train,240,1.9043063074350357,,4.1056000119292e-06,15360,16937,3863.28310719179,0.22492071047098833,,
train,250,2.049157828092575,,3.480609697283574e-06,16000,16538,3775.881374581995,0.22458373231002537,,
eval,250,2.0054994771877923,7.4298039877294295,,,54196.0,,,,
train,260,2.0329449623823166,,2.957306237089291e-06,16640,16380,3422.7578032091446,0.20740341413988722,,
train,270,2.0332568883895874,,2.5427664129268253e-06,17280,15576,3602.6181055097345,0.2248628774957079,,
train,280,2.0114059299230576,,2.242596164781586e-06,17920,15437,3483.5202100700026,0.22503796650258096,,
train,290,1.8588995784521103,,2.060854780322513e-06,18560,18393,3906.3732997255865,0.22640523590177214,,
train,300,2.0336364805698395,,2.0000000000000003e-06,19200,17815,4113.682066896608,0.22494256067720975,,
eval,300,2.004983643690745,7.4259724342628335,,,54196.0,,,,
checkpoint,300,,,,,,,,runs/l20-edu-135m-sft-6k-quality/step-000300,
done,,,,,,,,,,runs/l20-edu-135m-sft-6k-quality/step-000300
