event,step,loss,perplexity,lr,sequences,supervised_tokens,supervised_tokens_per_sec_window,steps_per_sec_window,path,checkpoint
train,1,5.862081170082092,,1.25e-06,64,766,154.8909512816949,0.2022075082006461,,
train,10,5.979463994503021,,4.9914380707064284e-06,640,582,136.7526714638682,0.22628682536768044,,
train,20,5.291960895061493,,4.698557158514988e-06,1280,530,139.59582630190036,0.2255182977413576,,
eval,20,6.005139112472534,405.5073959483173,,,99.0,,,,
train,30,4.759502291679382,,4.040546981789854e-06,1920,696,137.48599726714022,0.22239727801219708,,
train,40,4.734990835189819,,3.140708399750594e-06,2560,692,138.2346256946468,0.22521118555660935,,
eval,40,4.825058579444885,124.59376680312003,,,99.0,,,,
checkpoint,40,,,,,,,,runs/l20-edu-135m-sft-behavior-patch/step-000040,
train,50,4.596006810665131,,2.167657148519328e-06,3200,548,127.3051244481245,0.21713307939301466,,
train,60,4.6295971274375916,,1.3037278782052865e-06,3840,573,139.01957087098882,0.2251329082930993,,
eval,60,4.478304386138916,88.08518751200766,,,99.0,,,,
train,70,4.542351841926575,,7.108074791675378e-07,4480,407,133.47366691084676,0.2224190416777983,,
train,80,4.618703067302704,,5.000000000000001e-07,5120,489,140.04738217106913,0.22519276760101165,,
eval,80,4.430947661399841,84.01099317403006,,,99.0,,,,
checkpoint,80,,,,,,,,runs/l20-edu-135m-sft-behavior-patch/step-000080,
done,,,,,,,,,,runs/l20-edu-135m-sft-behavior-patch/step-000080
