event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,1,528384,0.000528,10.8943589925766,,8.000000000000001e-07,5958.308692440408,
train,10,5283840,0.005284,10.778932988643646,,4.4e-06,38218.078193190966,
train,20,10567680,0.010568,10.379796728491783,,8.400000000000001e-06,38220.37837262394,
train,30,15851520,0.015852,10.00209692120552,,1.24e-05,38233.364429644214,
train,40,21135360,0.021135,9.825471222400665,,1.6400000000000002e-05,38251.152931583936,
train,50,26419200,0.026419,9.715513497591019,,2.04e-05,38266.8866970296,
train,60,31703040,0.031703,9.590806365013123,,2.44e-05,38271.55777341931,
train,70,36986880,0.036987,9.390741795301437,,2.84e-05,38272.2334342527,
train,80,42270720,0.042271,9.18552914261818,,3.24e-05,38279.461649064135,
train,90,47554560,0.047555,8.978832811117172,,3.6400000000000004e-05,38272.6603362431,
train,100,52838400,0.052838,8.7101661413908,,4.0400000000000006e-05,38259.314555290475,
train,110,58122240,0.058122,8.413904681801796,,4.44e-05,38237.627783016054,
train,120,63406080,0.063406,8.144846439361572,,4.8400000000000004e-05,38229.2426870151,
train,130,68689920,0.068690,7.900880038738251,,5.2400000000000007e-05,38218.86767394838,
train,140,73973760,0.073974,7.6770700216293335,,5.6399999999999995e-05,38210.60016444018,
train,150,79257600,0.079258,7.478867262601852,,6.04e-05,38209.17350543301,
train,160,84541440,0.084541,7.296365559101105,,6.440000000000001e-05,38197.2978853165,
train,170,89825280,0.089825,7.170939311385155,,6.840000000000001e-05,38184.50453894527,
train,180,95109120,0.095109,7.021739915013313,,7.24e-05,38176.67875590252,
train,190,100392960,0.100393,6.929029315710068,,7.64e-05,38177.550540389784,
train,200,105676800,0.105677,6.810507670044899,,8.04e-05,38174.459291826504,
train,210,110960640,0.110961,6.690244764089584,,8.44e-05,38165.02877415585,
train,220,116244480,0.116244,6.626125290989876,,8.840000000000001e-05,38166.715777457925,
train,230,121528320,0.121528,6.538754656910896,,9.240000000000001e-05,38156.36008630673,
train,240,126812160,0.126812,6.469724237918854,,9.64e-05,38170.77736962347,
train,250,132096000,0.132096,6.371563673019409,,0.0001004,38161.08484307145,
train,260,137379840,0.137380,6.2926392406225204,,0.0001044,38154.36914282538,
train,270,142663680,0.142664,6.205370128154755,,0.00010840000000000002,38162.700919005685,
train,280,147947520,0.147948,6.153109967708588,,0.00011240000000000002,38160.42637392524,
train,290,153231360,0.153231,6.141686871647835,,0.0001164,38145.67660400877,
train,300,158515200,0.158515,6.081332683563232,,0.0001204,38154.69863133184,
train,310,163799040,0.163799,6.033519595861435,,0.00012440000000000002,38147.12163816034,
